client_id,gendr,bal
836976,U,45105.3
2304905,U,110860.3
1439522,U,52467.79
1562045,M,67454.65
5126305,F,103671.75
3727881,U,23915.6
272934,U,27021.42
388801,M,522498.72
285619,M,299388.72
8198645,F,382303.83
8368822,U,75578.54
2537139,U,135940.68
2208717,U,29782.96
2214073,M,136818.03
2368987,U,44408.87
2892152,U,46815.48
4536541,U,47804.5
3788589,M,30750.76
719792,F,111736.78
5904035,U,27848.76
1502049,U,28952.15
6590646,F,2768726.87
7585111,U,36621.41
3638336,M,54296.67
9520009,M,61062.57
1508759,U,66514.85
9381346,U,272252.76
7035604,U,28175.92
3055315,F,66560.69
3350906,U,88627.18
2109862,U,35917.29
1549737,U,35608.94
7474517,U,53993.47
6448014,U,82787.46
6651826,U,44696.97
2305285,M,132347.89
5889920,M,106249.03
3065089,M,439723.43
313570,F,75124.07
9721424,F,29667.6
3753796,F,214661.75
6647577,F,86005.57
6341488,F,116534.46
838619,F,131309.81
2000151,F,136515.54
6579978,M,71192.58
8475126,M,327091.02
7419744,U,162233.71
9796602,F,25827.39
1329260,F,666138.27
4821014,M,45073.26
7906602,F,39725.28
2671231,U,43062.3
9587439,U,28875.65
5542798,M,79888.68
5977906,F,82916.93
7928244,F,105416.69
4906392,F,52600.87
3939684,F,48166.13
3731320,U,34487.99
9055726,U,33261.64
5808972,U,29898.98
7414763,U,53219.65
1531616,M,100777.88
8387066,M,406190.96
3402999,U,56527.9
8593187,M,207559.95
5908339,F,205785.55
4442018,U,65264.87
5727622,U,109130.47
3284361,F,28085.99
6666515,U,59526.37
9150149,U,104179.39
7176877,U,75279.47
410752,M,25640.01
3979917,M,374919.6
7759130,U,78278.56
5587497,U,410277.5
4264493,U,36298.01
9492169,U,98181.16
5816825,F,32873.33
9692048,M,87935.1
9250552,U,77674.34
1730954,F,58456.9
2264903,M,63368.8
7321667,U,68761.49
1460648,F,121700.66
2942135,U,417847.47
1459001,M,166623.2
6398341,F,109127.33
5531076,M,67727.62
3162487,U,259691.04
2570380,U,51670.68
5449775,U,46749.74
8415669,M,43793.82
6810931,U,45780.6
8096768,F,91761.22
6737425,M,83778.79
7949341,U,25253.27
7458635,U,158434.49
3322068,F,140687.41
1643775,U,25270.36
934609,F,136573.63
2408879,U,208004.65
1596507,F,175883.31
8763719,M,98540.5
7702214,U,43988.28
200698,M,28559.28
7449147,F,215247.66
2096514,F,84419.06
5474775,F,95855.61
6226205,F,45294.1
2069824,F,52157.46
7045562,U,73644.53
8501949,U,76834.13
5376149,M,858054.38
148954,F,89263.33
7803610,U,66958.67
7772844,U,43012.02
4681026,U,99729.87
9242446,M,56986.04
1905822,F,49186.49
5586955,U,30493.38
6980695,U,143304.76
3097635,M,27215.69
2559930,F,26430.43
2693746,M,35206.61
9073948,U,175468.15
9897542,U,66806.77
6652996,F,48410.62
5601417,F,23799.36
